LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764809694.870403,2361294.000,55809,1,HR,1,100,55.27
1764809695.549475,2361973.000,55928,1,HR,1,100,62.59
1764809696.563583,2362987.000,56092,1,HR,1,100,62.02
1764809697.203652,2363627.000,56195,1,HR,1,100,69.07
1764809697.643699,2364067.000,56262,1,HR,1,100,84.02
1764809698.282767,2364706.000,56378,1,HR,1,100,86.19
1764809701.150073,2367573.000,56832,1,HR,1,100,71.73
1764809701.790141,2368213.000,56951,1,HR,1,100,76.62
1764809702.390205,2368813.000,57049,1,HR,1,100,81.82
1764809703.003271,2369426.000,57152,1,HR,1,100,85.86
1764809703.643339,2370066.000,57253,1,HR,1,100,87.61
1764809704.776460,2371199.000,57442,1,HR,1,100,80.05
1764809705.416528,2371839.000,57545,1,HR,1,100,83.09
1764809706.216614,2372639.000,57678,1,HR,1,100,81.29
1764809706.456640,2372879.000,57711,1,HR,1,100,118.79
1764809707.349735,2373772.000,57863,1,HR,1,100,107.54
1764809707.909795,2374332.000,57964,1,HR,1,100,107.45
1764809708.509859,2374932.000,58045,1,HR,1,100,105.80
1764809709.682984,2376105.000,58252,1,HR,1,100,93.78
1764809710.243044,2376665.000,58339,1,HR,1,100,96.75
1764809710.803104,2377225.000,58438,1,HR,1,100,99.06
1764809711.776208,2378198.000,58588,1,HR,1,100,90.93
1764809712.176250,2378598.000,58656,1,HR,1,100,104.06
1764809713.230363,2379652.000,58839,1,HR,1,100,93.76
1764809714.429491,2380851.000,59032,1,HR,1,100,84.03
1764809715.643620,2382065.000,59234,1,HR,1,100,76.47
1764809716.403702,2382825.000,59352,1,HR,1,100,77.02
1764809717.163783,2383585.000,59485,1,HR,1,100,77.45
1764809718.216895,2384638.000,59651,1,HR,1,100,73.06
1764809719.096989,2385518.000,59801,1,HR,1,100,71.97
1764809719.750059,2386171.000,59908,1,HR,1,100,76.81
1764809720.270114,2386691.000,59995,1,HR,1,100,85.39
1764809720.870178,2387291.000,60096,1,HR,1,100,88.63
1764809721.150208,2387571.000,60150,1,HR,1,100,116.56
1764809722.403342,2388824.000,60349,1,HR,1,100,101.41
1764809722.803385,2389224.000,60418,1,HR,1,100,112.21
1764809723.896502,2390317.000,60602,1,HR,1,100,99.62
1764809724.576574,2390997.000,60708,1,HR,1,100,97.09
1764809725.496673,2391917.000,60860,1,HR,1,100,90.00
1764809726.069734,2392490.000,60961,1,HR,1,100,93.81
1764809728.043945,2394464.000,61275,1,HR,1,100,79.77
1764809728.723017,2395143.000,61392,1,HR,1,100,81.65
1764809729.243073,2395663.000,61479,1,HR,1,100,89.15
1764809729.803132,2396223.000,61567,1,HR,1,100,93.15
1764809730.617219,2397037.000,61704,1,HR,1,100,89.11
1764809732.070374,2398490.000,61954,1,HR,1,100,78.57
1764809732.510421,2398930.000,62022,1,HR,1,100,91.41
1764809733.670545,2400090.000,62204,1,HR,1,100,82.59
1764809734.763662,2401183.000,62398,1,HR,1,100,76.58
1764809735.603752,2402023.000,62535,1,HR,1,100,75.44
1764809736.696868,2403116.000,62720,1,HR,1,100,71.02
1764809737.256928,2403676.000,62804,1,HR,1,100,79.05
1764809738.270036,2404689.000,62970,1,HR,1,100,74.81
1764809739.070122,2405489.000,63102,1,HR,1,100,74.86
1764809739.750194,2406169.000,63221,1,HR,1,100,77.83
1764809741.083337,2407502.000,63430,1,HR,1,100,70.63
1764809741.883422,2408302.000,63563,1,HR,1,100,71.60
1764809743.136556,2409555.000,63782,1,HR,1,100,66.44
1764809743.656611,2410075.000,63866,1,HR,1,100,77.32
1764809744.016650,2410435.000,63920,1,HR,1,100,97.18
1764809744.509703,2410928.000,64006,1,HR,1,100,103.36
1764809744.629715,2411048.000,64023,1,HR,1,100,191.51
1764809745.350792,2411769.000,64149,1,HR,1,100,167.47
1764809746.069869,2412488.000,64267,1,HR,1,100,148.77
1764809746.843952,2413262.000,64400,1,HR,1,100,133.25
1764809747.644037,2414062.000,64534,1,HR,1,100,120.31
1764809748.363114,2414781.000,64649,1,HR,1,100,112.09
1764809748.564136,2414982.000,64683,1,HR,1,100,153.85
