LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764808138.593130,805116.000,64606,1,HR,1,100,74.36
1764808139.193159,805716.000,64705,1,HR,1,100,80.06
1764808139.686182,806209.000,64789,1,HR,1,100,90.04
1764808141.086249,807609.000,65022,1,HR,1,100,79.56
1764808142.699326,809222.000,65285,1,HR,1,100,70.21
1764808143.419360,809942.000,65401,1,HR,1,100,73.13
1764808144.392406,810915.000,27,1,HR,1,100,70.77
1764808145.645466,812168.000,231,1,HR,1,100,65.79
1764808146.205492,812728.000,334,1,HR,1,100,74.98
1764808147.739565,814262.000,588,1,HR,1,100,67.09
1764808149.178634,815701.000,831,1,HR,1,100,61.44
1764808150.392692,816915.000,1013,1,HR,1,100,58.90
1764808151.111726,817634.000,1145,1,HR,1,100,64.33
1764808152.325783,818848.000,1343,1,HR,1,100,61.14
1764808154.138870,820661.000,1632,1,HR,1,100,54.96
1764808156.431979,822954.000,2014,1,HR,1,100,48.60
1764808157.552032,824074.000,2196,1,HR,1,100,49.70
1764808159.205111,825727.000,2464,1,HR,1,100,46.79
1764808159.885143,826407.000,2581,1,HR,1,100,56.00
1764808160.418169,826940.000,2667,1,HR,1,100,69.20
1764808161.538222,828060.000,2847,1,HR,1,100,65.72
1764808162.551270,829073.000,3014,1,HR,1,100,64.45
1764808163.911335,830433.000,3229,1,HR,1,100,59.93
1764808165.404406,831926.000,3485,1,HR,1,100,55.62
1764808165.964432,832486.000,3570,1,HR,1,100,67.07
1764808168.177538,834699.000,3935,1,HR,1,100,58.23
1764808169.111582,835633.000,4084,1,HR,1,100,59.78
1764808170.111630,836633.000,4253,1,HR,1,100,59.83
1764808170.471647,836993.000,4322,1,HR,1,100,83.57
1764808170.791662,837313.000,4374,1,HR,1,100,106.67
1764808172.084723,838606.000,4587,1,HR,1,100,93.38
1764808172.644750,839166.000,4672,1,HR,1,100,96.44
1764808173.417787,839939.000,4806,1,HR,1,100,92.55
1764808173.817806,840339.000,4873,1,HR,1,100,105.32
1764808174.537840,841059.000,4996,1,HR,1,100,100.43
1764808175.510887,842032.000,5146,1,HR,1,100,92.00
1764808179.204062,845725.000,5757,1,HR,1,100,75.18
1764808181.377166,847898.000,6109,1,HR,1,100,64.65
1764808181.910191,848431.000,6191,1,HR,1,100,75.92
1764808182.550221,849071.000,6309,1,HR,1,100,79.88
1764808183.230254,849751.000,6409,1,HR,1,100,81.74
1764808184.844331,851365.000,6679,1,HR,1,100,71.91
1764808186.137392,852658.000,6899,1,HR,1,100,66.35
1764808191.483646,858004.000,7746,1,HR,1,100,54.11
1764808194.709800,861230.000,8276,1,HR,1,100,46.25
1764808197.962955,864483.000,8817,1,HR,1,100,40.09
1764808198.895999,865416.000,8966,1,HR,1,100,45.67
1764808199.296018,865816.000,9034,1,HR,1,100,68.86
1764808201.429120,867949.000,9385,1,HR,1,100,59.84
1764808203.723229,870243.000,9766,1,HR,1,100,52.39
1764808204.776279,871296.000,9936,1,HR,1,100,53.57
1764808206.336353,872856.000,10206,1,HR,1,100,50.21
1764808208.469455,874989.000,10550,1,HR,1,100,45.34
1764808209.362497,875882.000,10685,1,HR,1,100,50.42
1764808210.082531,876602.000,10825,1,HR,1,100,57.73
1764808211.695608,878215.000,11075,1,HR,1,100,53.24
1764808213.028672,879548.000,11308,1,HR,1,100,51.51
1764808214.308732,880828.000,11506,1,HR,1,100,50.48
1764808214.628747,881148.000,11556,1,HR,1,100,80.93
1764808215.561792,882081.000,11712,1,HR,1,100,77.44
1764808216.121819,882641.000,11812,1,HR,1,100,84.04
1764808217.015861,883535.000,11960,1,HR,1,100,80.51
1764808217.495884,884015.000,12029,1,HR,1,100,90.40
1764808219.108961,885628.000,12296,1,HR,1,100,78.64
1764808222.522123,889041.000,12861,1,HR,1,100,65.09
1764808224.415213,890934.000,13176,1,HR,1,100,57.72
1764808225.988288,892507.000,13431,1,HR,1,100,53.44
1764808228.801422,895320.000,13895,1,HR,1,100,46.32
1764808229.814470,896333.000,14061,1,HR,1,100,49.36
1764808230.214489,896733.000,14133,1,HR,1,100,71.73
1764808230.774516,897293.000,14208,1,HR,1,100,79.60
1764808231.748562,898267.000,14378,1,HR,1,100,75.80
1764808232.987621,899506.000,14584,1,HR,1,100,69.71
