LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764114407.060750,372367.000,58440,1,HR,1,100,73.17
1764114408.234022,373540.000,58638,1,HR,1,100,68.40
1764114413.781306,379086.000,59533,1,HR,1,100,55.62
1764114414.554485,379859.000,59665,1,HR,1,100,60.80
1764114415.234643,380539.000,59764,1,HR,1,100,66.90
1764114415.874791,381179.000,59882,1,HR,1,100,72.87
1764114418.862483,384166.000,60348,1,HR,1,100,61.18
1764114419.702678,385006.000,60496,1,HR,1,100,63.46
1764114420.435848,385739.000,60612,1,HR,1,100,67.87
1764114420.995977,386299.000,60696,1,HR,1,100,76.60
1764114421.836172,387139.000,60848,1,HR,1,100,75.45
1764114422.409304,387712.000,60938,1,HR,1,100,82.49
1764114422.969434,388272.000,61023,1,HR,1,100,87.97
1764114423.729610,389032.000,61159,1,HR,1,100,85.97
1764114426.596274,391898.000,61619,1,HR,1,100,71.56
1764114427.956589,393258.000,61839,1,HR,1,100,65.46
1764114428.689759,393991.000,61957,1,HR,1,100,69.43
1764114429.129861,394431.000,62043,1,HR,1,100,84.31
1764114429.810018,395111.000,62142,1,HR,1,100,85.18
1764114430.290130,395591.000,62226,1,HR,1,100,94.03
1764114430.983290,396284.000,62343,1,HR,1,100,92.74
1764114431.623438,396924.000,62442,1,HR,1,100,92.97
1764114433.037766,398338.000,62678,1,HR,1,100,81.83
1764114433.717923,399018.000,62781,1,HR,1,100,83.25
1764114434.358072,399658.000,62897,1,HR,1,100,85.59
1764114435.211269,400511.000,63030,1,HR,1,100,82.44
1764114436.091473,401391.000,63179,1,HR,1,100,79.27
1764114437.384773,402684.000,63376,1,HR,1,100,72.07
1764114438.184958,403484.000,63516,1,HR,1,100,72.72
1764114438.825106,404124.000,63617,1,HR,1,100,77.40
1764114439.238202,404537.000,63684,1,HR,1,100,93.53
1764114440.638526,405937.000,63915,1,HR,1,100,82.27
1764114441.251668,406550.000,64016,1,HR,1,100,86.21
1764114442.251900,407550.000,64180,1,HR,1,100,80.38
1764114442.732011,408030.000,64247,1,HR,1,100,90.30
1764114443.145107,408443.000,64322,1,HR,1,100,103.57
1764114445.079555,410377.000,64635,1,HR,1,100,87.50
1764114447.293067,412590.000,64997,1,HR,1,100,74.11
1764114448.972456,414269.000,65267,1,HR,1,100,65.58
1764114450.586830,415883.000,65532,1,HR,1,100,59.34
1764114451.800111,417096.000,196,1,HR,1,100,57.26
1764114452.320232,417616.000,281,1,HR,1,100,70.18
1764114453.120417,418416.000,402,1,HR,1,100,71.25
1764114453.813577,419109.000,522,1,HR,1,100,75.03
1764114456.907294,422202.000,1029,1,HR,1,100,62.68
