LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764100666.327498,4317825.000,42396,1,HR,1,100,27.48
1764100666.861538,4318359.000,42477,1,HR,1,100,47.02
1764100668.061628,4319559.000,42677,1,HR,1,100,47.68
1764100668.754680,4320252.000,42795,1,HR,1,100,56.69
1764100669.514737,4321012.000,42921,1,HR,1,100,61.64
1764100670.327797,4321825.000,43056,1,HR,1,100,64.61
1764100670.767830,4322265.000,43125,1,HR,1,100,80.55
1764100671.127857,4322625.000,43194,1,HR,1,100,99.69
1764100672.140933,4323638.000,43359,1,HR,1,100,90.87
1764100672.860987,4324358.000,43476,1,HR,1,100,89.20
1764100673.621044,4325118.000,43591,1,HR,1,100,86.92
1764100674.754128,4326251.000,43781,1,HR,1,100,79.51
1764100675.394176,4326891.000,43882,1,HR,1,100,82.67
1764100676.247240,4327744.000,44032,1,HR,1,100,80.17
1764100676.967294,4328464.000,44151,1,HR,1,100,80.88
1764100677.741352,4329238.000,44266,1,HR,1,100,80.45
1764100678.500408,4329997.000,44400,1,HR,1,100,80.11
1764100679.194460,4330691.000,44516,1,HR,1,100,81.92
1764100679.914514,4331411.000,44620,1,HR,1,100,82.23
1764100680.673571,4332170.000,44755,1,HR,1,100,81.50
1764100681.407626,4332904.000,44872,1,HR,1,100,81.91
1764100682.087677,4333584.000,44988,1,HR,1,100,83.32
1764100684.500857,4335997.000,45368,1,HR,1,100,70.36
1764100685.393924,4336890.000,45524,1,HR,1,100,69.87
1764100686.527009,4338023.000,45704,1,HR,1,100,66.25
1764100687.967116,4339463.000,45935,1,HR,1,100,60.79
1764100689.100201,4340596.000,46117,1,HR,1,100,59.18
1764100689.620240,4341116.000,46202,1,HR,1,100,71.67
1764100692.527457,4344023.000,46687,1,HR,1,100,60.37
1764100693.460527,4344956.000,46836,1,HR,1,100,61.45
1764100693.980566,4345476.000,46921,1,HR,1,100,73.44
1764100694.620614,4346116.000,47021,1,HR,1,100,77.95
1764100695.313666,4346809.000,47144,1,HR,1,100,80.24
1764100695.993716,4347489.000,47244,1,HR,1,100,82.01
1764100696.713770,4348209.000,47361,1,HR,1,100,82.31
1764100697.326816,4348822.000,47461,1,HR,1,100,86.24
1764100698.246885,4349742.000,47612,1,HR,1,100,81.57
1764100698.940937,4350436.000,47728,1,HR,1,100,83.05
1764100699.699994,4351195.000,47861,1,HR,1,100,82.14
1764100700.460050,4351955.000,47985,1,HR,1,100,81.43
1764100701.314114,4352809.000,48117,1,HR,1,100,79.21
1764100704.700367,4356195.000,48677,1,HR,1,100,65.57
1764100705.340415,4356835.000,48768,1,HR,1,100,71.83
1764100705.940460,4357435.000,48868,1,HR,1,100,78.09
1764100706.913533,4358408.000,49033,1,HR,1,100,74.63
1764100707.593584,4359088.000,49148,1,HR,1,100,77.65
1764100708.446648,4359941.000,49283,1,HR,1,100,76.27
1764100709.246707,4360741.000,49415,1,HR,1,100,75.99
1764100710.259783,4361754.000,49571,1,HR,1,100,72.43
1764100710.899831,4362394.000,49688,1,HR,1,100,77.17
1764100711.672889,4363167.000,49805,1,HR,1,100,77.57
1764100712.432946,4363927.000,49941,1,HR,1,100,77.87
1764100713.152999,4364647.000,50056,1,HR,1,100,79.09
1764100714.087069,4365581.000,50206,1,HR,1,100,76.00
1764100714.606108,4366100.000,50289,1,HR,1,100,84.76
1764100716.180226,4367674.000,50543,1,HR,1,100,74.47
1764100716.660262,4368154.000,50627,1,HR,1,100,85.70
1764100717.353313,4368847.000,50745,1,HR,1,100,86.26
1764100718.033364,4369527.000,50846,1,HR,1,100,86.70
1764100718.766419,4370260.000,50978,1,HR,1,100,85.95
1764100719.446470,4370940.000,51079,1,HR,1,100,86.46
1764100720.166524,4371660.000,51194,1,HR,1,100,85.76
1764100721.019588,4372513.000,51332,1,HR,1,100,82.58
1764100721.699639,4373193.000,51450,1,HR,1,100,83.84
1764100722.632708,4374126.000,51598,1,HR,1,100,79.70
1764100723.392765,4374886.000,51731,1,HR,1,100,79.53
1764100724.126820,4375620.000,51847,1,HR,1,100,80.38
1764100724.926880,4376420.000,51979,1,HR,1,100,79.18
1764100725.725940,4377219.000,52106,1,HR,1,100,78.25
1764100726.419991,4377913.000,52222,1,HR,1,100,80.47
1764100726.620006,4378113.000,52257,1,HR,1,100,129.26
1764100727.220051,4378713.000,52356,1,HR,1,100,122.76
1764100727.993109,4379486.000,52489,1,HR,1,100,113.02
1764100728.713163,4380206.000,52606,1,HR,1,100,106.42
1764100729.473220,4380966.000,52722,1,HR,1,100,100.32
1764100730.206275,4381699.000,52837,1,HR,1,100,96.54
