LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764101749.377712,5400797.000,22332,1,HR,1,100,53.72
1764101752.310738,5403730.000,22811,1,HR,1,100,46.35
1764101754.043753,5405463.000,23096,1,HR,1,100,43.80
1764101754.683758,5406103.000,23195,1,HR,1,100,54.90
1764101757.269780,5408689.000,23628,1,HR,1,100,47.91
1764101762.696827,5414116.000,24503,1,HR,1,100,39.73
1764101763.789837,5415209.000,24693,1,HR,1,100,43.25
1764101764.829846,5416249.000,24859,1,HR,1,100,46.46
1764101766.442860,5417862.000,25124,1,HR,1,100,44.47
1764101768.775880,5420195.000,25500,1,HR,1,100,40.33
1764101773.495920,5424915.000,26265,1,HR,1,100,34.22
1764101774.894933,5426314.000,26484,1,HR,1,100,36.14
1764101775.748940,5427168.000,26636,1,HR,1,100,43.98
1764101776.961950,5428381.000,26834,1,HR,1,100,45.32
1764101777.961959,5429381.000,26999,1,HR,1,100,48.58
1764101779.654974,5431074.000,27256,1,HR,1,100,45.72
1764101780.894984,5432314.000,27472,1,HR,1,100,46.31
1764101784.521015,5435940.000,28053,1,HR,1,100,39.73
1764101785.334023,5436753.000,28188,1,HR,1,100,47.56
1764101792.814087,5444233.000,29390,1,HR,1,100,38.79
1764101793.134090,5444553.000,29441,1,HR,1,100,71.84
1764101795.187108,5446606.000,29777,1,HR,1,100,62.41
1764101796.360118,5447779.000,29977,1,HR,1,100,60.03
1764101796.920122,5448339.000,30060,1,HR,1,100,70.50
1764101797.373126,5448792.000,30145,1,HR,1,100,85.14
1764101798.573137,5449992.000,30329,1,HR,1,100,77.33
1764101806.026201,5457445.000,31561,1,HR,1,100,61.95
1764101810.612241,5462031.000,32305,1,HR,1,100,51.10
1764101810.892243,5462311.000,32355,1,HR,1,100,87.37
1764101811.665250,5463084.000,32473,1,HR,1,100,85.50
1764101812.505257,5463924.000,32607,1,HR,1,100,82.37
1764101813.145262,5464564.000,32722,1,HR,1,100,84.90
1764101813.758268,5465177.000,32823,1,HR,1,100,88.26
1764101814.958278,5466377.000,33004,1,HR,1,100,79.75
1764101815.851286,5467270.000,33163,1,HR,1,100,77.18
1764101817.785302,5469204.000,33480,1,HR,1,100,66.97
1764101818.304307,5469723.000,33567,1,HR,1,100,77.73
1764101819.224315,5470643.000,33715,1,HR,1,100,74.95
1764101819.544317,5470963.000,33766,1,HR,1,100,99.96
1764101819.958321,5471377.000,33833,1,HR,1,100,111.08
1764101820.557326,5471976.000,33926,1,HR,1,100,108.62
1764101821.637336,5473056.000,34110,1,HR,1,100,96.83
1764101822.051339,5473470.000,34177,1,HR,1,100,108.64
1764101822.571344,5473990.000,34262,1,HR,1,100,110.14
1764101824.144357,5475563.000,34525,1,HR,1,100,94.21
1764101824.864363,5476283.000,34641,1,HR,1,100,91.79
1764101825.424368,5476843.000,34732,1,HR,1,100,95.21
1764101826.397377,5477816.000,34898,1,HR,1,100,87.94
