LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1763672441.280962,7033600.000,25606,1,HR,1,100,72.91
1763672441.880433,7034199.000,25710,1,HR,1,100,78.93
1763672443.175450,7035493.000,25925,1,HR,1,100,71.81
1763672443.775922,7036093.000,26008,1,HR,1,100,78.07
1763672444.456456,7036773.000,26126,1,HR,1,100,80.33
1763672445.990661,7038306.000,26374,1,HR,1,100,71.25
1763672446.270881,7038586.000,26427,1,HR,1,100,103.04
1763672447.604929,7039919.000,26632,1,HR,1,100,90.24
1763672448.405558,7040719.000,26766,1,HR,1,100,86.85
1763672450.019825,7042332.000,27035,1,HR,1,100,75.89
1763672450.540234,7042852.000,27119,1,HR,1,100,84.66
1763672451.554030,7043865.000,27286,1,HR,1,100,79.18
1763672452.875068,7045185.000,27506,1,HR,1,100,71.69
1763672453.648675,7045958.000,27621,1,HR,1,100,73.30
1763672455.183881,7047492.000,27871,1,HR,1,100,65.78
1763672456.864201,7049171.000,28149,1,HR,1,100,59.10
1763672458.598563,7050904.000,28419,1,HR,1,100,53.72
1763672459.413203,7051718.000,28553,1,HR,1,100,58.45
1763672460.093737,7052398.000,28670,1,HR,1,100,65.07
1763672460.974429,7053278.000,28818,1,HR,1,100,65.76
1763672462.268445,7054571.000,29040,1,HR,1,100,61.56
1763672463.109105,7055411.000,29172,1,HR,1,100,63.76
1763672463.402335,7055704.000,29228,1,HR,1,100,97.21
1763672464.002807,7056304.000,29329,1,HR,1,100,97.83
1763672465.857264,7058157.000,29627,1,HR,1,100,83.33
1763672466.537798,7058837.000,29744,1,HR,1,100,84.42
1763672467.831814,7060130.000,29946,1,HR,1,100,76.08
1763672469.406051,7061703.000,30212,1,HR,1,100,67.72
1763672470.566962,7062863.000,30399,1,HR,1,100,64.16
1763672470.847183,7063143.000,30450,1,HR,1,100,97.53
1763672471.581759,7063877.000,30568,1,HR,1,100,94.37
1763672472.221262,7064516.000,30689,1,HR,1,100,94.23
1763672472.661608,7064956.000,30742,1,HR,1,100,103.60
1763672473.476247,7065770.000,30874,1,HR,1,100,97.24
1763672474.796284,7067089.000,31090,1,HR,1,100,85.73
1763672475.410767,7067703.000,31189,1,HR,1,100,88.90
1763672476.211395,7068503.000,31321,1,HR,1,100,85.81
1763672476.851898,7069143.000,31422,1,HR,1,100,87.58
1763672477.091086,7069382.000,31473,1,HR,1,100,123.67
1763672477.425349,7069716.000,31529,1,HR,1,100,137.86
1763672479.439931,7071729.000,31842,1,HR,1,100,113.89
