LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1764100660.793085,4312291.000,41508,2,EA,1,100,3.412025
1764100660.793085,4312291.000,41508,2,EA,1,100,3.360952
1764100660.860090,4312358.000,41525,1,EA,1,100,3.188494
1764100660.926594,4312424.500,41540,2,EA,1,100,3.077132
1764100660.993099,4312491.000,41540,2,EA,1,100,2.972009
1764100661.060104,4312558.000,41557,1,EA,1,100,2.883355
1764100661.126610,4312624.500,41573,2,EA,1,100,2.869088
1764100661.193115,4312691.000,41573,2,EA,1,100,2.850293
1764100661.260119,4312758.000,41591,1,EA,1,100,2.836351
1764100661.326624,4312824.500,41605,2,EA,1,100,2.819118
1764100661.393129,4312891.000,41605,2,EA,1,100,2.804353
1764100661.460135,4312958.000,41622,1,EA,1,100,2.788617
1764100661.526639,4313024.500,41639,2,EA,1,100,2.763155
1764100661.593144,4313091.000,41639,2,EA,1,100,2.751134
1764100661.660149,4313158.000,41656,1,EA,1,100,2.747877
1764100661.726654,4313224.500,41671,2,EA,1,100,2.747877
1764100661.793159,4313291.000,41671,2,EA,1,100,2.731699
1764100661.860164,4313358.000,41687,1,EA,1,100,2.718891
1764100661.926669,4313424.500,41704,2,EA,1,100,2.709371
1764100661.993174,4313491.000,41704,2,EA,1,100,2.695730
1764100662.059679,4313557.500,41721,2,EA,1,100,2.686362
1764100662.126184,4313624.000,41721,2,EA,1,100,2.675008
1764100662.193189,4313691.000,41737,1,EA,1,100,2.670897
1764100662.259694,4313757.500,41753,2,EA,1,100,2.666800
1764100662.326199,4313824.000,41753,2,EA,1,100,2.663740
1764100662.393204,4313891.000,41769,1,EA,1,100,2.659674
1764100662.459709,4313957.500,41786,2,EA,1,100,2.655611
1764100662.526214,4314024.000,41786,2,EA,1,100,2.652576
1764100662.593219,4314091.000,41803,1,EA,1,100,2.651560
1764100662.659724,4314157.500,41818,2,EA,1,100,2.650554
1764100662.726229,4314224.000,41818,2,EA,1,100,2.648535
1764100662.793234,4314291.000,41834,1,EA,1,100,2.654602
1764100662.859739,4314357.500,41852,2,EA,1,100,2.661700
1764100662.926244,4314424.000,41852,2,EA,1,100,2.671919
1764100662.993249,4314491.000,41868,1,EA,1,100,2.680159
1764100663.059754,4314557.500,41883,2,EA,1,100,2.693642
1764100663.126259,4314624.000,41883,2,EA,1,100,2.702006
1764100663.193264,4314691.000,41899,1,EA,1,100,2.703051
1764100663.259769,4314757.500,41917,2,EA,1,100,2.704108
1764100663.326274,4314824.000,41917,2,EA,1,100,2.713591
1764100663.393279,4314891.000,41933,1,EA,1,100,2.722090
1764100663.459784,4314957.500,41948,2,EA,1,100,2.730632
1764100663.526289,4315024.000,41948,2,EA,1,100,2.727423
1764100663.593294,4315091.000,41965,1,EA,1,100,2.718891
1764100663.659799,4315157.500,41982,2,EA,1,100,2.717833
1764100663.726304,4315224.000,41982,2,EA,1,100,2.722090
1764100663.793309,4315291.000,41998,1,EA,1,100,2.731699
1764100663.859814,4315357.500,42015,2,EA,1,100,2.755495
1764100663.926319,4315424.000,42015,2,EA,1,100,2.776385
1764100663.992990,4315490.667,42036,3,EA,1,100,2.775271
1764100664.059662,4315557.333,42036,3,EA,1,100,2.824839
1764100664.126334,4315624.000,42036,3,EA,1,100,2.856141
1764100664.193339,4315691.000,42052,1,EA,1,100,2.871458
1764100664.259844,4315757.500,42068,2,EA,1,100,2.884545
1764100664.326349,4315824.000,42068,2,EA,1,100,2.883355
1764100664.393354,4315891.000,42084,1,EA,1,100,2.843299
1764100664.459859,4315957.500,42101,2,EA,1,100,2.827136
1764100664.526364,4316024.000,42101,2,EA,1,100,2.821406
1764100664.593369,4316091.000,42118,1,EA,1,100,2.828281
1764100664.659874,4316157.500,42133,2,EA,1,100,2.844468
1764100664.726379,4316224.000,42133,2,EA,1,100,2.858479
1764100664.793384,4316291.000,42149,1,EA,1,100,2.869088
1764100664.859889,4316357.500,42167,2,EA,1,100,2.872639
1764100664.926394,4316424.000,42167,2,EA,1,100,2.886940
1764100664.993399,4316491.000,42183,1,EA,1,100,2.900169
1764100665.059904,4316557.500,42199,2,EA,1,100,2.911091
1764100665.126409,4316624.000,42199,2,EA,1,100,2.918411
1764100665.193413,4316691.000,42214,1,EA,1,100,2.927005
1764100665.259918,4316757.500,42234,2,EA,1,100,2.948085
1764100665.326423,4316824.000,42234,2,EA,1,100,2.969471
1764100665.392928,4316890.500,42250,2,EA,1,100,2.977087
1764100665.459433,4316957.000,42250,2,EA,1,100,2.991169
1764100665.526438,4317024.000,42267,1,EA,1,100,3.005373
1764100665.592943,4317090.500,42282,2,EA,1,100,3.015788
1764100665.659448,4317157.000,42282,2,EA,1,100,3.007973
1764100665.726453,4317224.000,42299,1,EA,1,100,3.019711
1764100665.792958,4317290.500,42315,2,EA,1,100,3.038172
1764100665.859463,4317357.000,42315,2,EA,1,100,3.050160
1764100665.926468,4317424.000,42333,1,EA,1,100,3.068983
1764100665.992973,4317490.500,42347,2,EA,1,100,3.089418
1764100666.059478,4317557.000,42347,2,EA,1,100,3.104585
1764100666.126483,4317624.000,42364,1,EA,1,100,3.117091
1764100666.192988,4317690.500,42381,2,EA,1,100,3.129712
1764100666.259493,4317757.000,42381,2,EA,1,100,3.146696
1764100666.326498,4317824.000,42400,1,EA,1,100,3.163850
1764100666.393003,4317890.500,42414,2,EA,1,100,3.179759
1764100666.459508,4317957.000,42414,2,EA,1,100,3.185572
1764100666.526513,4318024.000,42431,1,EA,1,100,2.803217
1764100666.593018,4318090.500,42448,2,EA,1,100,1.298995
1764100666.659523,4318157.000,42448,2,EA,1,100,1.308521
1764100666.726528,4318224.000,42465,1,EA,1,100,1.195669
1764100666.793033,4318290.500,42481,2,EA,1,100,1.826331
1764100666.859538,4318357.000,42481,2,EA,1,100,1.695108
1764100666.926543,4318424.000,42499,1,EA,1,100,1.564416
1764100666.993048,4318490.500,42515,2,EA,1,100,1.607784
1764100667.059553,4318557.000,42515,2,EA,1,100,1.640372
1764100667.126558,4318624.000,42532,1,EA,1,100,1.669492
1764100667.193063,4318690.500,42548,2,EA,1,100,1.532043
1764100667.259568,4318757.000,42548,2,EA,1,100,1.217634
1764100667.326573,4318824.000,42564,1,EA,1,100,0.925892
1764100667.393078,4318890.500,42580,2,EA,1,100,0.554657
1764100667.459583,4318957.000,42580,2,EA,1,100,0.525428
