LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1763672111.424628,6703766.000,37110,1,HR,1,100,97.23
1763672112.197677,6704539.000,37245,1,HR,1,100,93.17
1763672112.997727,6705339.000,37377,1,HR,1,100,89.13
1763672113.717772,6706059.000,37492,1,HR,1,100,87.84
1763672114.410815,6706752.000,37584,1,HR,1,100,87.93
1763672115.810903,6708152.000,37815,1,HR,1,100,77.91
1763672118.558074,6710899.000,38259,1,HR,1,100,65.50
1763672120.411191,6712752.000,38565,1,HR,1,100,58.19
1763672121.491258,6713832.000,38746,1,HR,1,100,57.60
1763672121.771276,6714112.000,38782,1,HR,1,100,92.42
1763672122.544324,6714885.000,38914,1,HR,1,100,89.43
1763672123.224366,6715565.000,39030,1,HR,1,100,89.16
1763672124.024416,6716365.000,39164,1,HR,1,100,86.02
1763672124.837467,6717178.000,39287,1,HR,1,100,83.57
1763672125.557512,6717898.000,39402,1,HR,1,100,83.52
1763672126.370563,6718711.000,39535,1,HR,1,100,81.62
1763672127.130611,6719471.000,39669,1,HR,1,100,81.03
1763672127.810653,6720151.000,39785,1,HR,1,100,82.63
1763672128.583702,6720924.000,39901,1,HR,1,100,81.81
1763672129.263744,6721604.000,40021,1,HR,1,100,83.24
1763672130.023792,6722364.000,40139,1,HR,1,100,82.29
1763672130.916847,6723257.000,40289,1,HR,1,100,79.15
1763672131.676895,6724017.000,40404,1,HR,1,100,79.11
1763672132.369938,6724710.000,40522,1,HR,1,100,81.13
1763672133.129986,6725470.000,40654,1,HR,1,100,80.65
1763672133.810028,6726150.000,40753,1,HR,1,100,82.33
1763672134.664082,6727004.000,40904,1,HR,1,100,79.91
1763672135.424129,6727764.000,41027,1,HR,1,100,79.70
1763672136.223179,6728563.000,41160,1,HR,1,100,78.65
1763672136.957225,6729297.000,41275,1,HR,1,100,79.69
1763672137.797278,6730137.000,41407,1,HR,1,100,77.86
1763672138.277308,6730617.000,41492,1,HR,1,100,88.33
1763672139.130361,6731470.000,41626,1,HR,1,100,84.58
1763672139.970413,6732310.000,41766,1,HR,1,100,81.65
1763672140.543449,6732883.000,41867,1,HR,1,100,87.32
1763672141.263494,6733603.000,41984,1,HR,1,100,86.43
1763672142.023542,6734363.000,42100,1,HR,1,100,84.77
1763672142.556575,6734896.000,42183,1,HR,1,100,91.57
1763672143.396628,6735736.000,42333,1,HR,1,100,87.10
1763672144.116673,6736456.000,42450,1,HR,1,100,86.26
1763672144.889721,6737229.000,42566,1,HR,1,100,84.64
1763672145.849781,6738189.000,42721,1,HR,1,100,79.72
1763672146.462820,6738802.000,42822,1,HR,1,100,84.22
1763672147.062857,6739402.000,42921,1,HR,1,100,87.73
