LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764100882.985410,4534457.000,12334,1,HR,1,100,112.83
1764100884.038362,4535510.000,12503,1,HR,1,100,100.58
1764100884.678333,4536150.000,12604,1,HR,1,100,99.06
1764100885.638288,4537110.000,12752,1,HR,1,100,90.94
1764100886.211262,4537683.000,12853,1,HR,1,100,94.54
1764100886.771237,4538243.000,12938,1,HR,1,100,97.34
1764100887.771191,4539243.000,13102,1,HR,1,100,89.04
1764100888.304167,4539776.000,13185,1,HR,1,100,94.90
1764100889.264123,4540736.000,13358,1,HR,1,100,87.70
1764100889.784099,4541256.000,13443,1,HR,1,100,93.85
1764100890.357073,4541829.000,13527,1,HR,1,100,96.80
1764100891.077040,4542549.000,13661,1,HR,1,100,93.81
1764100891.891002,4543363.000,13793,1,HR,1,100,89.63
1764100892.730964,4544203.000,13926,1,HR,1,100,85.58
1764100893.370935,4544843.000,14025,1,HR,1,100,87.40
1764100894.263894,4545736.000,14179,1,HR,1,100,83.13
1764100894.903865,4546376.000,14280,1,HR,1,100,85.49
1764100895.583833,4547056.000,14397,1,HR,1,100,86.10
1764100896.276802,4547749.000,14516,1,HR,1,100,86.57
1764100896.956771,4548429.000,14614,1,HR,1,100,86.94
1764100897.609741,4549082.000,14730,1,HR,1,100,88.46
1764100898.569697,4550042.000,14879,1,HR,1,100,82.69
1764100899.129671,4550602.000,14980,1,HR,1,100,88.12
1764100899.822639,4551295.000,15082,1,HR,1,100,88.15
1764100900.462610,4551935.000,15185,1,HR,1,100,89.39
1764100900.742597,4552215.000,15236,1,HR,1,100,117.15
1764100901.182577,4552655.000,15303,1,HR,1,100,121.42
1764100901.875546,4553348.000,15418,1,HR,1,100,114.04
1764100902.515516,4553988.000,15519,1,HR,1,100,109.53
1764100903.369477,4554842.000,15669,1,HR,1,100,101.07
1764100903.889453,4555362.000,15752,1,HR,1,100,104.25
1764100904.848409,4556321.000,15909,1,HR,1,100,94.97
