LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764814305.919559,6972032.000,19310,1,HR,1,100,61.21
1764814306.599661,6972712.000,19426,1,HR,1,100,67.22
1764814309.053029,6975165.000,19827,1,HR,1,100,57.75
1764814309.827145,6975939.000,19948,1,HR,1,100,62.46
1764814310.347224,6976459.000,20032,1,HR,1,100,74.22
1764814311.480393,6977592.000,20233,1,HR,1,100,69.63
1764814312.240507,6978352.000,20354,1,HR,1,100,71.70
1764814312.680573,6978792.000,20421,1,HR,1,100,86.07
1764814313.120640,6979232.000,20506,1,HR,1,100,97.25
1764814313.453690,6979565.000,20556,1,HR,1,100,117.30
1764814313.973768,6980085.000,20640,1,HR,1,100,116.88
1764814314.533852,6980645.000,20739,1,HR,1,100,114.71
1764814315.587010,6981698.000,20907,1,HR,1,100,102.04
1764814316.187100,6982298.000,21007,1,HR,1,100,101.59
1764814316.947214,6983058.000,21123,1,HR,1,100,96.56
1764814317.307268,6983418.000,21196,1,HR,1,100,112.14
1764814317.720330,6983831.000,21263,1,HR,1,100,120.55
1764814318.840498,6984951.000,21445,1,HR,1,100,105.67
1764814320.373728,6986484.000,21694,1,HR,1,100,90.96
1764814323.067132,6989177.000,22125,1,HR,1,100,75.72
1764814323.387180,6989497.000,22177,1,HR,1,100,100.56
1764814323.761236,6989871.000,22244,1,HR,1,100,115.25
1764814324.320320,6990430.000,22328,1,HR,1,100,113.45
1764814324.680374,6990790.000,22396,1,HR,1,100,125.28
1764814326.894706,6993004.000,22759,1,HR,1,100,103.50
1764814327.613814,6993723.000,22881,1,HR,1,100,99.02
1764814328.587960,6994697.000,23031,1,HR,1,100,90.90
1764814330.321220,6996430.000,23332,1,HR,1,100,78.45
1764814331.081334,6997190.000,23449,1,HR,1,100,78.56
1764814331.801442,6997910.000,23565,1,HR,1,100,79.62
1764814333.014624,6999123.000,23750,1,HR,1,100,73.04
1764814333.494696,6999603.000,23834,1,HR,1,100,84.59
1764814334.787890,7000896.000,24049,1,HR,1,100,76.21
1764814335.828046,7001936.000,24217,1,HR,1,100,72.09
1764814336.801192,7002909.000,24381,1,HR,1,100,69.96
1764814337.961366,7004069.000,24570,1,HR,1,100,65.91
1764814338.534452,7004642.000,24669,1,HR,1,100,75.07
1764814338.974519,7005082.000,24736,1,HR,1,100,88.69
1764814339.414584,7005522.000,24807,1,HR,1,100,99.29
1764814340.628767,7006736.000,25009,1,HR,1,100,88.33
1764814341.347874,7007455.000,25125,1,HR,1,100,87.22
1764814342.388031,7008495.000,25310,1,HR,1,100,80.66
1764814344.241309,7010348.000,25611,1,HR,1,100,69.98
1764814344.815395,7010922.000,25696,1,HR,1,100,78.24
1764814345.775539,7011882.000,25864,1,HR,1,100,74.74
1764814346.788691,7012895.000,26030,1,HR,1,100,71.47
1764814347.388781,7013495.000,26133,1,HR,1,100,77.81
1764814349.362077,7015468.000,26453,1,HR,1,100,67.32
1764814349.762137,7015868.000,26520,1,HR,1,100,85.69
1764814350.042179,7016148.000,26574,1,HR,1,100,114.27
1764814351.295367,7017401.000,26771,1,HR,1,100,99.63
1764814352.735583,7018841.000,27005,1,HR,1,100,86.75
1764814353.268663,7019374.000,27076,1,HR,1,100,93.11
1764814355.762037,7021867.000,27488,1,HR,1,100,77.80
1764814356.642169,7022747.000,27638,1,HR,1,100,75.66
1764814357.336273,7023441.000,27753,1,HR,1,100,78.45
1764814358.135393,7024240.000,27875,1,HR,1,100,77.69
1764814358.895507,7025000.000,28016,1,HR,1,100,77.97
1764814359.669623,7025774.000,28133,1,HR,1,100,78.18
1764814360.309719,7026414.000,28256,1,HR,1,100,81.64
1764814361.188851,7027293.000,28390,1,HR,1,100,78.65
1764814362.243009,7028347.000,28572,1,HR,1,100,73.99
1764814364.416336,7030520.000,28925,1,HR,1,100,63.72
1764814367.149746,7033253.000,29372,1,HR,1,100,54.46
1764814368.883006,7034986.000,29657,1,HR,1,100,50.11
1764814369.896158,7035999.000,29821,1,HR,1,100,52.31
1764814371.376380,7037479.000,30054,1,HR,1,100,49.69
1764814373.909760,7040012.000,30473,1,HR,1,100,43.94
1764814379.630618,7045732.000,31405,1,HR,1,100,36.52
