LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764108873.973003,12526671.000,59492,1,HR,1,100,51.98
1764108875.706110,12528404.000,59762,1,HR,1,100,48.18
1764108876.626167,12529324.000,59912,1,HR,1,100,51.96
1764108877.319210,12530017.000,60031,1,HR,1,100,60.02
1764108877.839242,12530537.000,60119,1,HR,1,100,72.33
1764108878.559286,12531257.000,60236,1,HR,1,100,74.77
1764108878.959311,12531657.000,60304,1,HR,1,100,91.49
1764108881.786486,12534484.000,60753,1,HR,1,100,75.92
1764108882.665540,12535363.000,60904,1,HR,1,100,74.20
1764108885.199697,12537897.000,61322,1,HR,1,100,63.00
1764108886.572782,12539270.000,61539,1,HR,1,100,58.81
1764108887.652849,12540350.000,61725,1,HR,1,100,58.08
1764108890.319014,12543016.000,62152,1,HR,1,100,50.23
1764108891.679098,12544376.000,62373,1,HR,1,100,48.87
1764108894.385265,12547082.000,62821,1,HR,1,100,42.98
1764108895.425329,12548122.000,62989,1,HR,1,100,46.25
1764108897.078432,12549775.000,63263,1,HR,1,100,44.10
1764108897.358449,12550055.000,63299,1,HR,1,100,81.92
1764108897.878481,12550575.000,63399,1,HR,1,100,89.36
1764108902.024738,12554721.000,64075,1,HR,1,100,72.74
1764108902.704780,12555401.000,64190,1,HR,1,100,76.18
1764108904.678902,12557375.000,64508,1,HR,1,100,66.05
1764108906.011984,12558708.000,64726,1,HR,1,100,61.48
1764108906.492014,12559188.000,64802,1,HR,1,100,75.59
1764108908.705151,12561401.000,65166,1,HR,1,100,64.86
1764108909.518201,12562214.000,65298,1,HR,1,100,67.11
1764108911.078298,12563774.000,33,1,HR,1,100,60.74
1764108913.451444,12566147.000,423,1,HR,1,100,52.89
1764108915.104547,12567800.000,690,1,HR,1,100,49.27
1764108919.211801,12571907.000,1375,1,HR,1,100,41.59
1764108920.584886,12573280.000,1596,1,HR,1,100,42.15
1764108921.424938,12574120.000,1729,1,HR,1,100,48.66
1764108923.558069,12576253.000,2083,1,HR,1,100,44.13
1764108925.771206,12578466.000,2428,1,HR,1,100,40.39
1764108926.011221,12578706.000,2479,1,HR,1,100,86.97
1764108926.984282,12579679.000,2636,1,HR,1,100,81.53
