LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1763670032.953125,4625441.000,27327,1,HR,1,100,71.51
1763670033.672184,4626160.000,27446,1,HR,1,100,74.14
1763670034.352240,4626840.000,27563,1,HR,1,100,77.27
1763670034.886284,4627374.000,27647,1,HR,1,100,85.74
1763670036.125386,4628613.000,27845,1,HR,1,100,77.44
1763670036.539420,4629027.000,27928,1,HR,1,100,93.57
1763670037.019459,4629507.000,27996,1,HR,1,100,100.55
1763670037.739519,4630227.000,28112,1,HR,1,100,96.73
1763670038.139551,4630627.000,28186,1,HR,1,100,108.56
1763670039.392655,4631880.000,28402,1,HR,1,100,95.19
1763670039.992704,4632480.000,28503,1,HR,1,100,96.26
1763670042.525912,4635013.000,28898,1,HR,1,100,80.16
1763670042.938946,4635426.000,28965,1,HR,1,100,95.68
1763670046.152210,4638639.000,29501,1,HR,1,100,78.58
1763670047.205297,4639692.000,29666,1,HR,1,100,73.94
1763670047.765343,4640252.000,29766,1,HR,1,100,81.32
1763670048.445399,4640932.000,29854,1,HR,1,100,82.86
1763670049.059450,4641546.000,29955,1,HR,1,100,86.67
1763670049.658499,4642145.000,30056,1,HR,1,100,89.63
1763670050.258548,4642745.000,30156,1,HR,1,100,91.93
1763670050.992609,4643479.000,30289,1,HR,1,100,90.02
1763670051.712668,4644199.000,30406,1,HR,1,100,88.54
1763670052.072697,4644559.000,30457,1,HR,1,100,105.90
1763670053.565820,4646052.000,30709,1,HR,1,100,91.37
1763670055.738999,4648225.000,31059,1,HR,1,100,77.24
1763670056.419055,4648905.000,31176,1,HR,1,100,79.68
1763670057.232122,4649718.000,31308,1,HR,1,100,78.64
1763670059.285291,4651771.000,31643,1,HR,1,100,67.70
1763670059.965347,4652451.000,31760,1,HR,1,100,72.27
1763670060.325376,4652811.000,31812,1,HR,1,100,93.24
1763670061.298456,4653784.000,31978,1,HR,1,100,86.41
1763670061.578479,4654064.000,32031,1,HR,1,100,114.83
1763670062.218532,4654704.000,32129,1,HR,1,100,110.15
1763670065.205778,4657691.000,32611,1,HR,1,100,90.17
1763670066.564889,4659050.000,32842,1,HR,1,100,79.94
1763670066.884916,4659370.000,32893,1,HR,1,100,103.84
1763670069.592138,4662077.000,33325,1,HR,1,100,85.74
1763670071.725314,4664210.000,33672,1,HR,1,100,72.98
1763670072.645389,4665130.000,33822,1,HR,1,100,71.25
1763670073.165432,4665650.000,33905,1,HR,1,100,81.06
1763670073.578466,4666063.000,33972,1,HR,1,100,96.38
1763670074.258522,4666743.000,34097,1,HR,1,100,94.57
1763670075.471622,4667956.000,34294,1,HR,1,100,84.67
1763670075.831651,4668316.000,34344,1,HR,1,100,102.89
1763670078.444866,4670929.000,34773,1,HR,1,100,85.15
1763670080.258015,4672742.000,35062,1,HR,1,100,73.64
1763670081.991158,4674475.000,35342,1,HR,1,100,65.02
1763670083.191257,4675675.000,35539,1,HR,1,100,61.69
1763670084.485363,4676969.000,35745,1,HR,1,100,58.39
1763670086.978568,4679462.000,36156,1,HR,1,100,50.79
1763670088.871724,4681355.000,36454,1,HR,1,100,46.60
1763670089.484774,4681968.000,36562,1,HR,1,100,58.47
1763670090.124827,4682608.000,36661,1,HR,1,100,66.31
1763670090.804883,4683288.000,36779,1,HR,1,100,71.18
1763670091.537943,4684021.000,36896,1,HR,1,100,73.88
1763670092.258003,4684741.000,37011,1,HR,1,100,75.98
1763670092.818048,4685301.000,37112,1,HR,1,100,82.91
1763670093.458101,4685941.000,37211,1,HR,1,100,85.32
1763670094.111155,4686594.000,37331,1,HR,1,100,87.19
1763670094.791211,4687274.000,37439,1,HR,1,100,87.42
1763670095.391260,4687874.000,37538,1,HR,1,100,90.22
1763670095.924304,4688407.000,37621,1,HR,1,100,95.81
1763670096.564357,4689047.000,37721,1,HR,1,100,95.35
1763670097.124403,4689607.000,37821,1,HR,1,100,97.97
1763670098.057479,4690540.000,37971,1,HR,1,100,90.69
1763670103.617937,4696100.000,38865,1,HR,1,100,72.95
1763670105.218068,4697700.000,39139,1,HR,1,100,65.08
1763670105.991132,4698473.000,39255,1,HR,1,100,68.16
1763670107.564261,4700046.000,39517,1,HR,1,100,61.56
1763670109.444416,4701926.000,39816,1,HR,1,100,54.97
1763670110.497503,4702979.000,39985,1,HR,1,100,55.58
1763670111.911619,4704393.000,40218,1,HR,1,100,52.75
1763670113.350737,4705832.000,40465,1,HR,1,100,50.29
1763670114.444827,4706926.000,40635,1,HR,1,100,51.46
1763670115.044877,4707526.000,40742,1,HR,1,100,62.25
1763670115.524916,4708006.000,40810,1,HR,1,100,76.19
1763670116.017956,4708499.000,40892,1,HR,1,100,87.04
1763670116.377986,4708859.000,40961,1,HR,1,100,104.73
1763670117.338065,4709819.000,41111,1,HR,1,100,95.35
1763670119.311227,4711792.000,41445,1,HR,1,100,80.96
1763670120.444321,4712925.000,41632,1,HR,1,100,74.87
1763670121.044370,4713525.000,41717,1,HR,1,100,80.46
1763670122.337476,4714818.000,41933,1,HR,1,100,73.00
1763670126.083784,4718564.000,42545,1,HR,1,100,60.36
1763670128.257963,4720738.000,42889,1,HR,1,100,53.12
1763670128.858013,4721338.000,42990,1,HR,1,100,63.54
1763670136.470639,4728950.000,44216,1,HR,1,100,51.18
1763670139.323873,4731803.000,44679,1,HR,1,100,44.50
1763670142.230112,4734709.000,45144,1,HR,1,100,39.24
1763670144.284281,4736763.000,45492,1,HR,1,100,37.06
1763670145.724400,4738203.000,45713,1,HR,1,100,38.08
1763670146.097430,4738576.000,45780,1,HR,1,100,66.66
1763670146.697480,4739176.000,45883,1,HR,1,100,74.07
1763670147.257526,4739736.000,45984,1,HR,1,100,81.42
1763670147.937582,4740416.000,46084,1,HR,1,100,82.93
1763670148.670642,4741149.000,46201,1,HR,1,100,83.02
1763670149.550714,4742029.000,46351,1,HR,1,100,79.72
1763670152.816983,4745295.000,46880,1,HR,1,100,66.12
1763670153.737059,4746215.000,47030,1,HR,1,100,65.92
1763670154.350109,4746828.000,47131,1,HR,1,100,73.49
1763670154.870152,4747348.000,47214,1,HR,1,100,82.80
1763670155.910238,4748388.000,47385,1,HR,1,100,77.22
1763670158.977490,4751455.000,47880,1,HR,1,100,64.45
1763670159.456529,4751934.000,47966,1,HR,1,100,77.90
1763670160.870646,4753348.000,48204,1,HR,1,100,70.12
1763670161.430691,4753908.000,48289,1,HR,1,100,78.34
1763670162.483778,4754961.000,48454,1,HR,1,100,73.75
1763670163.523864,4756001.000,48620,1,HR,1,100,70.19
1763670164.656957,4757134.000,48804,1,HR,1,100,66.49
