LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1764109230.568163,12883234.000,52675,2,EA,1,100,0.094203
1764109230.568163,12883234.000,52675,2,EA,1,100,0.094200
1764109230.635159,12883301.000,52692,1,EA,1,100,0.094195
1764109230.701656,12883367.500,52706,2,EA,1,100,0.094200
1764109230.768153,12883434.000,52706,2,EA,1,100,0.094230
1764109230.835149,12883501.000,52723,1,EA,1,100,0.094278
1764109230.901646,12883567.500,52740,2,EA,1,100,0.094305
1764109230.968143,12883634.000,52740,2,EA,1,100,0.094310
1764109231.035139,12883701.000,52759,1,EA,1,100,0.094295
1764109231.101635,12883767.500,52773,2,EA,1,100,0.094317
1764109231.168132,12883834.000,52773,2,EA,1,100,0.094326
1764109231.235129,12883901.000,52791,1,EA,1,100,0.094332
1764109231.301625,12883967.500,52809,2,EA,1,100,0.094368
1764109231.368122,12884034.000,52809,2,EA,1,100,0.094328
1764109231.435118,12884101.000,52828,1,EA,1,100,0.094171
1764109231.501615,12884167.500,52844,2,EA,1,100,0.093874
1764109231.568112,12884234.000,52844,2,EA,1,100,0.093698
1764109231.635108,12884301.000,52860,1,EA,1,100,0.093677
1764109231.701605,12884367.500,52876,2,EA,1,100,0.093706
1764109231.768101,12884434.000,52876,2,EA,1,100,0.093802
1764109231.835098,12884501.000,52893,1,EA,1,100,0.093992
1764109231.901595,12884567.500,52911,2,EA,1,100,0.094167
1764109231.968091,12884634.000,52911,2,EA,1,100,0.094251
1764109232.034588,12884700.500,52927,2,EA,1,100,0.094369
1764109232.101084,12884767.000,52927,2,EA,1,100,0.094414
1764109232.168081,12884834.000,52943,1,EA,1,100,0.094405
1764109232.234577,12884900.500,52963,2,EA,1,100,0.094317
1764109232.301074,12884967.000,52963,2,EA,1,100,0.094257
1764109232.368071,12885034.000,52979,1,EA,1,100,0.094227
1764109232.434567,12885100.500,52994,2,EA,1,100,0.094213
1764109232.501064,12885167.000,52994,2,EA,1,100,0.094223
1764109232.568060,12885234.000,53011,1,EA,1,100,0.094227
1764109232.634557,12885300.500,53028,2,EA,1,100,0.094177
1764109232.701054,12885367.000,53028,2,EA,1,100,0.094132
1764109232.768050,12885434.000,53044,1,EA,1,100,0.094157
1764109232.834547,12885500.500,53060,2,EA,1,100,0.094188
1764109232.901043,12885567.000,53060,2,EA,1,100,0.094197
1764109232.968040,12885634.000,53076,1,EA,1,100,0.094222
1764109233.034536,12885700.500,53095,2,EA,1,100,0.094207
1764109233.101033,12885767.000,53095,2,EA,1,100,0.094186
1764109233.168030,12885834.000,53111,1,EA,1,100,0.094175
1764109233.234526,12885900.500,53127,2,EA,1,100,0.094175
1764109233.301023,12885967.000,53127,2,EA,1,100,0.094184
1764109233.368019,12886034.000,53143,1,EA,1,100,0.094189
1764109233.434683,12886100.667,53166,3,EA,1,100,0.094184
1764109233.501346,12886167.333,53166,3,EA,1,100,0.094172
1764109233.568009,12886234.000,53166,3,EA,1,100,0.094172
1764109233.634506,12886300.500,53183,2,EA,1,100,0.094184
1764109233.701002,12886367.000,53183,2,EA,1,100,0.094262
1764109233.767999,12886434.000,53199,1,EA,1,100,0.094303
1764109233.834495,12886500.500,53217,2,EA,1,100,0.094255
1764109233.900992,12886567.000,53217,2,EA,1,100,0.094244
1764109233.967988,12886634.000,53233,1,EA,1,100,0.094259
1764109234.034485,12886700.500,53248,2,EA,1,100,0.094282
1764109234.100982,12886767.000,53248,2,EA,1,100,0.094313
1764109234.167978,12886834.000,53266,1,EA,1,100,0.094343
1764109234.234475,12886900.500,53284,2,EA,1,100,0.094355
1764109234.300972,12886967.000,53284,2,EA,1,100,0.094373
1764109234.367968,12887034.000,53300,1,EA,1,100,0.094386
1764109234.434465,12887100.500,53315,2,EA,1,100,0.094401
1764109234.500961,12887167.000,53315,2,EA,1,100,0.094411
1764109234.567958,12887234.000,53332,1,EA,1,100,0.094432
1764109234.634454,12887300.500,53349,2,EA,1,100,0.094456
1764109234.700951,12887367.000,53349,2,EA,1,100,0.094479
1764109234.767447,12887433.500,53367,2,EA,1,100,0.094496
1764109234.833944,12887500.000,53367,2,EA,1,100,0.094477
1764109234.900941,12887567.000,53385,1,EA,1,100,0.094442
1764109234.967437,12887633.500,53399,2,EA,1,100,0.094414
1764109235.033934,12887700.000,53399,2,EA,1,100,0.094407
1764109235.100930,12887767.000,53416,1,EA,1,100,0.094410
1764109235.167427,12887833.500,53433,2,EA,1,100,0.094418
1764109235.233924,12887900.000,53433,2,EA,1,100,0.094425
1764109235.300920,12887967.000,53450,1,EA,1,100,0.094425
1764109235.367417,12888033.500,53464,2,EA,1,100,0.094425
1764109235.433913,12888100.000,53464,2,EA,1,100,0.094415
1764109235.500910,12888167.000,53481,1,EA,1,100,0.094423
1764109235.567406,12888233.500,53498,2,EA,1,100,0.094416
1764109235.633903,12888300.000,53498,2,EA,1,100,0.094425
1764109235.700900,12888367.000,53515,1,EA,1,100,0.094434
1764109235.767396,12888433.500,53529,2,EA,1,100,0.094442
1764109235.833893,12888500.000,53529,2,EA,1,100,0.094446
1764109235.900889,12888567.000,53547,1,EA,1,100,0.094448
1764109235.967386,12888633.500,53563,2,EA,1,100,0.094455
1764109236.033883,12888700.000,53563,2,EA,1,100,0.094463
1764109236.100879,12888767.000,53580,1,EA,1,100,0.094423
1764109236.167376,12888833.500,53595,2,EA,1,100,0.094395
1764109236.233872,12888900.000,53595,2,EA,1,100,0.094425
1764109236.300869,12888967.000,53612,1,EA,1,100,0.094410
1764109236.367365,12889033.500,53628,2,EA,1,100,0.094400
1764109236.433862,12889100.000,53628,2,EA,1,100,0.094432
1764109236.500859,12889167.000,53645,1,EA,1,100,0.094447
1764109236.567355,12889233.500,53661,2,EA,1,100,0.094459
1764109236.633852,12889300.000,53661,2,EA,1,100,0.094460
1764109236.700348,12889366.500,53677,2,EA,1,100,0.094450
1764109236.766845,12889433.000,53677,2,EA,1,100,0.094432
1764109236.833842,12889500.000,53693,1,EA,1,100,0.094423
1764109236.900338,12889566.500,53713,2,EA,1,100,0.094409
1764109236.966835,12889633.000,53713,2,EA,1,100,0.094414
1764109237.033831,12889700.000,53729,1,EA,1,100,0.094438
1764109237.100328,12889766.500,53744,2,EA,1,100,0.094470
1764109237.166825,12889833.000,53744,2,EA,1,100,0.094493
1764109237.233821,12889900.000,53761,1,EA,1,100,0.094516
1764109237.300318,12889966.500,53780,2,EA,1,100,0.094551
1764109237.366814,12890033.000,53780,2,EA,1,100,0.094568
1764109237.433811,12890100.000,53796,1,EA,1,100,0.094579
1764109237.500307,12890166.500,53812,2,EA,1,100,0.094595
1764109237.566804,12890233.000,53812,2,EA,1,100,0.094617
1764109237.633801,12890300.000,53828,1,EA,1,100,0.094628
1764109237.700297,12890366.500,53845,2,EA,1,100,0.094639
1764109237.766794,12890433.000,53845,2,EA,1,100,0.094662
1764109237.833790,12890500.000,53861,1,EA,1,100,0.094681
1764109237.900287,12890566.500,53877,2,EA,1,100,0.094704
1764109237.966784,12890633.000,53877,2,EA,1,100,0.094707
1764109238.033780,12890700.000,53893,1,EA,1,100,0.094718
1764109238.100277,12890766.500,53910,2,EA,1,100,0.094734
1764109238.166773,12890833.000,53910,2,EA,1,100,0.094749
1764109238.233770,12890900.000,53929,1,EA,1,100,0.094757
1764109238.300266,12890966.500,53944,2,EA,1,100,0.094744
1764109238.366763,12891033.000,53944,2,EA,1,100,0.094731
1764109238.433759,12891100.000,53960,1,EA,1,100,0.094740
1764109238.500256,12891166.500,53978,2,EA,1,100,0.094748
1764109238.566753,12891233.000,53978,2,EA,1,100,0.094753
1764109238.633249,12891299.500,53999,2,EA,1,100,0.094753
1764109238.699746,12891366.000,53999,2,EA,1,100,0.094761
1764109238.766742,12891433.000,54016,2,EA,1,100,0.094780
1764109238.833739,12891500.000,54016,2,EA,1,100,0.094797
1764109238.899736,12891566.000,54033,1,EA,1,100,0.094819
1764109238.966732,12891633.000,54050,2,EA,1,100,0.094832
1764109239.033729,12891700.000,54050,2,EA,1,100,0.094849
1764109239.099725,12891766.000,54066,1,EA,1,100,0.094882
1764109239.166722,12891833.000,54084,2,EA,1,100,0.094921
1764109239.233718,12891900.000,54084,2,EA,1,100,0.094941
1764109239.299715,12891966.000,54100,1,EA,1,100,0.094951
1764109239.366712,12892033.000,54117,2,EA,1,100,0.094964
1764109239.433708,12892100.000,54117,2,EA,1,100,0.094960
1764109239.499705,12892166.000,54133,1,EA,1,100,0.094963
1764109239.566701,12892233.000,54151,2,EA,1,100,0.094961
1764109239.633698,12892300.000,54151,2,EA,1,100,0.094970
1764109239.699695,12892366.000,54167,1,EA,1,100,0.094974
1764109239.766691,12892433.000,54182,2,EA,1,100,0.094973
1764109239.833688,12892500.000,54182,2,EA,1,100,0.094969
1764109239.899684,12892566.000,54199,1,EA,1,100,0.094989
1764109239.966681,12892633.000,54216,2,EA,1,100,0.095008
1764109240.033677,12892700.000,54216,2,EA,1,100,0.095044
1764109240.099674,12892766.000,54234,1,EA,1,100,0.095068
1764109240.166671,12892833.000,54250,2,EA,1,100,0.095068
1764109240.233667,12892900.000,54250,2,EA,1,100,0.095090
1764109240.299664,12892966.000,54266,1,EA,1,100,0.095111
1764109240.366660,12893033.000,54283,2,EA,1,100,0.095116
1764109240.433657,12893100.000,54283,2,EA,1,100,0.095135
1764109240.499654,12893166.000,54299,1,EA,1,100,0.095169
1764109240.566650,12893233.000,54316,2,EA,1,100,0.095193
1764109240.633647,12893300.000,54316,2,EA,1,100,0.095203
1764109240.699643,12893366.000,54331,1,EA,1,100,0.095220
1764109240.766640,12893433.000,54350,2,EA,1,100,0.095232
1764109240.833636,12893500.000,54350,2,EA,1,100,0.095242
1764109240.900133,12893566.500,54367,2,EA,1,100,0.095259
1764109240.966630,12893633.000,54367,2,EA,1,100,0.095281
1764109241.033626,12893700.000,54384,1,EA,1,100,0.095303
1764109241.100123,12893766.500,54400,2,EA,1,100,0.095328
1764109241.166619,12893833.000,54400,2,EA,1,100,0.095319
1764109241.233616,12893900.000,54418,1,EA,1,100,0.095323
1764109241.300112,12893966.500,54434,2,EA,1,100,0.095328
1764109241.366609,12894033.000,54434,2,EA,1,100,0.095337
1764109241.433606,12894100.000,54451,1,EA,1,100,0.095349
1764109241.500102,12894166.500,54466,2,EA,1,100,0.095358
1764109241.566599,12894233.000,54466,2,EA,1,100,0.095367
1764109241.633595,12894300.000,54483,1,EA,1,100,0.095375
1764109241.700092,12894366.500,54499,2,EA,1,100,0.095362
1764109241.766588,12894433.000,54499,2,EA,1,100,0.095337
1764109241.832585,12894499.000,54516,1,EA,1,100,0.095322
1764109241.899582,12894566.000,54533,2,EA,1,100,0.095311
1764109241.966578,12894633.000,54533,2,EA,1,100,0.095311
1764109242.033575,12894700.000,54552,1,EA,1,100,0.095329
1764109242.100071,12894766.500,54568,2,EA,1,100,0.095326
1764109242.166568,12894833.000,54568,2,EA,1,100,0.095327
1764109242.233565,12894900.000,54586,1,EA,1,100,0.095335
1764109242.300061,12894966.500,54601,2,EA,1,100,0.095346
1764109242.366558,12895033.000,54601,2,EA,1,100,0.095357
1764109242.433554,12895100.000,54617,1,EA,1,100,0.095369
1764109242.500051,12895166.500,54634,2,EA,1,100,0.095382
1764109242.566547,12895233.000,54634,2,EA,1,100,0.095395
1764109242.633044,12895299.500,54651,2,EA,1,100,0.095416
1764109242.699541,12895366.000,54651,2,EA,1,100,0.095425
1764109242.766537,12895433.000,54667,1,EA,1,100,0.095439
1764109242.833034,12895499.500,54683,2,EA,1,100,0.095455
1764109242.899530,12895566.000,54683,2,EA,1,100,0.095465
1764109242.966527,12895633.000,54699,1,EA,1,100,0.095475
1764109243.033024,12895699.500,54716,2,EA,1,100,0.095486
1764109243.099520,12895766.000,54716,2,EA,1,100,0.095502
1764109243.166517,12895833.000,54732,1,EA,1,100,0.095513
1764109243.233013,12895899.500,54748,2,EA,1,100,0.095523
1764109243.299510,12895966.000,54748,2,EA,1,100,0.095531
1764109243.366507,12896033.000,54766,1,EA,1,100,0.095538
