LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1764811737.237647,4403515.000,61173,2,EA,1,100,2.144906
1764811737.237647,4403515.000,61173,2,EA,1,100,2.140294
1764811737.303633,4403581.000,61190,1,EA,1,100,2.137662
1764811737.370620,4403648.000,61207,2,EA,1,100,2.134384
1764811737.437605,4403715.000,61207,2,EA,1,100,2.133732
1764811737.503592,4403781.000,61224,1,EA,1,100,2.131116
1764811737.570578,4403848.000,61239,2,EA,1,100,2.128506
1764811737.637564,4403915.000,61239,2,EA,1,100,2.125256
1764811737.703550,4403981.000,61256,1,EA,1,100,2.123964
1764811737.770036,4404047.500,61272,2,EA,1,100,2.122668
1764811737.836522,4404114.000,61272,2,EA,1,100,2.121372
1764811737.903508,4404181.000,61289,2,EA,1,100,2.118786
1764811737.970495,4404248.000,61289,2,EA,1,100,2.120728
1764811738.036481,4404314.000,61306,1,EA,1,100,2.120079
1764811738.103467,4404381.000,61321,2,EA,1,100,2.118786
1764811738.170453,4404448.000,61321,2,EA,1,100,2.116854
1764811738.236439,4404514.000,61337,1,EA,1,100,2.118144
1764811738.303425,4404581.000,61355,2,EA,1,100,2.116854
1764811738.370411,4404648.000,61355,2,EA,1,100,2.116854
1764811738.436398,4404714.000,61371,1,EA,1,100,2.114926
1764811738.503384,4404781.000,61386,2,EA,1,100,2.113640
1764811738.570370,4404848.000,61386,2,EA,1,100,2.113640
1764811738.637356,4404915.000,61402,1,EA,1,100,2.114286
1764811738.703842,4404981.500,61420,2,EA,1,100,2.115566
1764811738.770328,4405048.000,61420,2,EA,1,100,2.117502
1764811738.836314,4405114.000,61438,1,EA,1,100,2.114286
1764811738.903300,4405181.000,61453,2,EA,1,100,2.118786
1764811738.970286,4405248.000,61453,2,EA,1,100,2.127858
1764811739.036273,4405314.000,61470,1,EA,1,100,2.132423
1764811739.103259,4405381.000,61487,2,EA,1,100,2.133732
1764811739.170245,4405448.000,61487,2,EA,1,100,2.131116
1764811739.236231,4405514.000,61503,1,EA,1,100,2.137662
1764811739.303217,4405581.000,61521,2,EA,1,100,2.160223
1764811739.370203,4405648.000,61521,2,EA,1,100,2.161560
1764811739.436189,4405714.000,61537,1,EA,1,100,2.163581
1764811739.502842,4405780.667,61561,3,EA,1,100,2.166950
1764811739.569495,4405847.333,61561,3,EA,1,100,2.173717
1764811739.636148,4405914.000,61561,3,EA,1,100,2.174394
1764811739.703134,4405981.000,61581,2,EA,1,100,2.171678
1764811739.770120,4406048.000,61581,2,EA,1,100,2.174394
1764811739.836606,4406114.500,61596,2,EA,1,100,2.176433
1764811739.903092,4406181.000,61596,2,EA,1,100,2.178475
1764811739.970078,4406248.000,61615,1,EA,1,100,2.182578
1764811740.036564,4406314.500,61636,2,EA,1,100,2.183260
1764811740.103050,4406381.000,61636,2,EA,1,100,2.181209
1764811740.170037,4406448.000,61653,1,EA,1,100,2.181209
1764811740.236523,4406514.500,61667,2,EA,1,100,2.181209
1764811740.303009,4406581.000,61667,2,EA,1,100,2.179841
1764811740.369995,4406648.000,61685,1,EA,1,100,2.179161
1764811740.436481,4406714.500,61701,2,EA,1,100,2.179161
1764811740.502967,4406781.000,61701,2,EA,1,100,2.183949
1764811740.569953,4406848.000,61718,1,EA,1,100,2.182578
1764811740.636439,4406914.500,61733,2,EA,1,100,2.178475
1764811740.702925,4406981.000,61733,2,EA,1,100,2.175755
1764811740.769912,4407048.000,61752,1,EA,1,100,2.174394
1764811740.836398,4407114.500,61768,2,EA,1,100,2.171003
1764811740.902884,4407181.000,61768,2,EA,1,100,2.167622
1764811740.968870,4407247.000,61785,1,EA,1,100,2.166950
1764811741.035856,4407314.000,61800,2,EA,1,100,2.167622
1764811741.102842,4407381.000,61800,2,EA,1,100,2.165600
1764811741.169828,4407448.000,61817,1,EA,1,100,2.165600
1764811741.236315,4407514.500,61833,2,EA,1,100,2.163581
1764811741.302801,4407581.000,61833,2,EA,1,100,2.164252
1764811741.368787,4407647.000,61851,1,EA,1,100,2.160892
1764811741.435773,4407714.000,61865,2,EA,1,100,2.159549
1764811741.502759,4407781.000,61865,2,EA,1,100,2.158209
1764811741.568745,4407847.000,61884,1,EA,1,100,2.157542
1764811741.635731,4407914.000,61901,2,EA,1,100,2.155539
1764811741.702717,4407981.000,61901,2,EA,1,100,2.154203
1764811741.768704,4408047.000,61918,1,EA,1,100,2.153539
1764811741.835690,4408114.000,61933,2,EA,1,100,2.152206
1764811741.902676,4408181.000,61933,2,EA,1,100,2.151537
1764811741.968662,4408247.000,61949,1,EA,1,100,2.152206
1764811742.035648,4408314.000,61968,2,EA,1,100,2.150874
1764811742.102634,4408381.000,61968,2,EA,1,100,2.151537
1764811742.168620,4408447.000,61985,1,EA,1,100,2.150213
1764811742.235606,4408514.000,62000,2,EA,1,100,2.148883
1764811742.302593,4408581.000,62000,2,EA,1,100,2.147556
1764811742.369079,4408647.500,62017,2,EA,1,100,2.146896
1764811742.435565,4408714.000,62017,2,EA,1,100,2.144906
1764811742.502551,4408781.000,62033,1,EA,1,100,2.144906
1764811742.569037,4408847.500,62050,2,EA,1,100,2.144248
1764811742.635523,4408914.000,62050,2,EA,1,100,2.144248
1764811742.702509,4408981.000,62067,1,EA,1,100,2.142269
