LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764110294.551748,13947156.000,29421,1,HR,1,100,56.64
1764110298.165412,13950769.000,30006,1,HR,1,100,47.76
1764110300.951925,13953555.000,30450,1,HR,1,100,41.98
1764110302.352182,13954955.000,30691,1,HR,1,100,42.17
1764110302.845273,13955448.000,30774,1,HR,1,100,60.58
1764110304.365552,13956968.000,31025,1,HR,1,100,55.89
1764110305.578776,13958181.000,31223,1,HR,1,100,54.58
1764110305.738805,13958341.000,31258,1,HR,1,100,125.79
1764110308.552322,13961154.000,31709,1,HR,1,100,102.60
1764110309.485494,13962087.000,31860,1,HR,1,100,94.29
1764110309.925575,13962527.000,31945,1,HR,1,100,103.64
1764110310.885751,13963487.000,32093,1,HR,1,100,94.50
1764110311.419850,13964021.000,32182,1,HR,1,100,99.14
1764110312.539055,13965140.000,32364,1,HR,1,100,89.01
1764110313.833293,13966434.000,32584,1,HR,1,100,79.65
1764110318.020063,13970620.000,33269,1,HR,1,100,65.15
1764110324.020167,13976619.000,34233,1,HR,1,100,52.91
1764110325.420424,13978019.000,34470,1,HR,1,100,50.68
1764110327.433794,13980032.000,34802,1,HR,1,100,46.08
1764110328.366966,13980965.000,34957,1,HR,1,100,50.33
1764110329.407157,13982005.000,35125,1,HR,1,100,51.97
1764110330.221307,13982819.000,35260,1,HR,1,100,57.09
1764110331.101469,13983699.000,35394,1,HR,1,100,59.55
1764110333.034824,13985632.000,35711,1,HR,1,100,53.26
1764110334.328062,13986925.000,35929,1,HR,1,100,51.84
1764110335.808334,13988405.000,36164,1,HR,1,100,49.33
1764110341.568393,13994164.000,37090,1,HR,1,100,40.70
1764110343.621771,13996217.000,37428,1,HR,1,100,38.19
1764110344.381911,13996977.000,37560,1,HR,1,100,47.25
1764110349.862919,14002457.000,38441,1,HR,1,100,39.20
1764110350.996127,14003590.000,38623,1,HR,1,100,42.39
1764110352.116333,14004710.000,38807,1,HR,1,100,44.88
1764110352.676436,14005270.000,38906,1,HR,1,100,58.71
1764110353.849652,14006443.000,39094,1,HR,1,100,57.16
1764110356.863206,14009456.000,39590,1,HR,1,100,48.90
1764110357.716363,14010309.000,39725,1,HR,1,100,53.91
1764110358.636532,14011229.000,39876,1,HR,1,100,56.42
1764110359.409674,14012002.000,39999,1,HR,1,100,61.43
1764110360.369851,14012962.000,40165,1,HR,1,100,61.67
1764110361.864126,14014456.000,40396,1,HR,1,100,56.97
1764110362.783295,14015375.000,40547,1,HR,1,100,58.80
1764110363.437415,14016029.000,40663,1,HR,1,100,66.57
1764110365.117724,14017709.000,40935,1,HR,1,100,59.71
